Timestamp,Presentation was well organized,Speaker spoke clearly and was easy to understand.,Presenter was enthusiastic about the topic.,I learned something new today,What was something new you learned from this presentation that you didn't know before?,What worked well for the presentation/presenter?,Suggestions for improvement. What are some changes would you advise the presenter to make their presentation more effective?,Additional comments for the speaker
11/13/2019 15:02:48,5,4,2,1,"As someone who watches basketball, his presentation did not teach me anything new about how the basketball works. I wish he went more in depth in maybe how the data is collected or even how data affected the types of shots people took.  ",I liked the topic he chose. Data is becoming a very big field where it fuels many decisions that businesses make. I liked his use of pictures to explain the concepts of the NBA basketball game.        ,Some changes I would advise the presenter to make that will make their presentation more effective are to focus less on the history part of the NBA and the dynamics of the NBA game. I think he should focus more on the data side and how that data affect business decisions. ,
11/13/2019 15:03:12,5,5,5,5,"Something new I learned from this presentation that I didn't know before that in the NBA before you weren't allowed to dribble the ball and only allowed to pass the ball. Before they had the shot clock of 24 seconds, people used to hold the ball whenever they had the lead into the time would run out so they can win the game the cheesy way.","The thing that worked well for the presenter was that he was very well spoken and very knowledgeable on this subject of the NBA. For somebody who doesn't know anything about basketball , this presentation would fully inform them on how basketball works.",I wouldn't change anything from this presentation because he differently nailed it. All his presentation slides was very informative and explained the rules of basketball. The statistics of score board of what shots players takes during a game.,Great job !
11/13/2019 15:04:19,4,4,4,3,The presentation's topic was about NBA analysts movement. This is a topic that i am interested about.  The presenter talked about the change of styles in history of the NBA with a lot of data analysis.,"The presenter showed in his power point  a lot of datas and images. The images and data were extremely helpful to what the presenter was explaining. The presenter introduced some background about rules of NBA before his presentation, which helps the students that don't know about NBA.",The presenter started with some history of NBA. In this part the presenter didn't showed any images to back his words. He showed that image after he introduced the history. It will be better if he showed it while introducing.,
11/13/2019 15:04:22,3,3,3,5,"Learned about the beginning of the NBA rules how it differed from today. Learned about the passing, dribbling and the three point line. Learned about the most efficient shots and how a player is stated. Learned about NBA terminology.  He expalined the data set and how teams use it.",He went over NBA fundamentals and interacted with the class to explain his presnetation. He was fluid and wasnt scared to explain his presneation. He explain the data for the most efficient shot in the NBA and how NBA teams take advantage of these types of data. He exaplained very well. ,"His presentation was a bit awkward starting, i didnt feel pulled into his presentation and was bored. He couldve spoke a bit louder and with my energy. Some of his slides were hard to read and had too much information on it. ",
11/13/2019 15:05:15,4,5,5,4,"I learned a lot today about NBA Analytics, what the history behind it is. I learnt about the analytics movement of NBA. What the score system was before and what basic box score is and different components of the are. What strategies players use to score more points.",His presentation was unique. He used a lot of visuals and tried to explain lot of examples of how technology has improved player sin improving heir game and how the scoring system has evolved accordingly. He seemed very enthusiastic about the topic as he was not reading off the slides. ,I wish he had first given us an understanding of what he was trying to explain with all the points he was making. He did say he was going to talk about the NBA Analytics movement but it would have been better is he had gone into detail about what the point for that analytics movement was and how it has payed off. ,
11/13/2019 15:07:10,3,3,3,4,"I learned an in depth explanation of the NBA analytics movement, starting from the beginning of the NBA, the rules of basketball and point acquisition based on a player's court position, and a detailed break down of basketball statistics.","The presenter seemed to be very knowledgable in the topic that they were presenting and provided a fair share of diagrams, graphs, and other visual aspects that illustrate the NBA analytics, to support their research. The presentation was very organized and easy to understand.","Since the presentation mostly involved a lot of visual aspects like charts and graphs, with little text, it was a little hard to understand something if I missed hearing something because there were no captions being presented to explain the images other than the presenter themself. If not for the presenter's lecture, I personally would have no way of understanding the pictures shown, but it also shows how knowledgeable the presenter is about their topic, seeing as they could explain and discuss the topic with the support of images alone.",
11/13/2019 15:07:30,5,5,4,5,"I learned about the box score, and different ways people in the NBA use NBA analytics to evaluate a players performance.  It was also nice seeing the history of the 3 point line which was something I never knew before. The video at the end demonstrating the tool was also something I didn't know about before.","I think the presenter was very well informed about his topic. He gave good details, diagrams, and descriptions on his slides. The topic was also very common, which was good because it made it interesting. The presenter also walked around and used hand motions to help his presentation.",I think the presenter could use a little more enthusiasm in his voice. It was very dry and bland so it made it harder to follow along. Varying the volume and tone of his voice would help a lot. It's a great way to grab the attention of the audience.,"Nice topic, good job!"
11/13/2019 15:07:42,5,5,5,5,"I learned the differences in NBA between now and many years ago. The way that the ball is dribbled is different now, the shooting point back then used to be 2 points maximum, now it’s 3 points, which are the most efficient in the game. A person’s box score is used to see how good the person played during a basketball. There is a lot of new technology today that can choose to focus on a player and watch the moves that he makes during the game and analyze the probability of the player making a shot in real-time.","He knew his topic very well and was able to explain everything without using his notes. He also had a lot of pictures, graphs, analytics on his slides which he was able to use to explain to us the different features of basketball and the changes from now and years ago. He showed a timeline of the history of NBA data and the differences between the dark ages, the box era and the data ball. He also showed us the technology that is used today to analyze each player’s abilities. ","Although he showed that he was an expert on his topic by not having notes, I think that it would have been helpful to have some information on the slides for the visual learners, because not everyone can focus and understand just what is going on as audio. ",
11/13/2019 15:07:48,5,5,5,5,I learned that the NBA has changes the rules and it has a big effect on the scores of the games. I also learned that they take a lot of data from the games and see how they can make the games more entertaining.,The presenter did a good job showing the data the NBA collects and explaining it in a very friendly way to people who don't know much about it at all. He also did a good job showing the tech they use.,There isn't much that they can improve he did a good job getting his point across in a friendly manner for those who don't know anything about NBA at all. The presentation overall was very well executed.,Very interesting presentation
11/13/2019 15:08:06,5,5,5,5,"The detail of Virtual Reality, History of Virtual Reality. Usage of Virtual Reality (Entertainment). Usage of Virtual Reality(Social), Usage of Virtual Reality(Education). Virtual Reality technology. Future of Virtual Reality. ",The difference between Virtual Reality and Augmented reality. VR can simulate real work spaces for workplace occupational safety and health purpose education purpose and training purposes. The head mounted display (HMD) which is a display device. We might see the big market of the Virtual Reality(now just a very small market) ,The difference between Virtual Reality and Augmented reality. VR can simulate real workspaces for workplace occupational safety and health purpose education purpose and training purposes. The head mounted display (HMD) which is a display device. We might see the big market of the Virtual Reality(now just a very small market) ,n/a 
